,value,geometry,latitude,longitude,region_id,impf_
17507,2603.9073913247257,POINT (15.395833333333375 40.479166666666956),40.479166666666956,15.395833333333375,380,1
17508,346734.20128786704,POINT (15.437500000000043 40.479166666666956),40.479166666666956,15.437500000000043,380,1
17509,191021083.74551335,POINT (15.47916666666671 40.479166666666956),40.479166666666956,15.47916666666671,380,1
17510,108163712.2512519,POINT (15.520833333333378 40.479166666666956),40.479166666666956,15.520833333333378,380,1
17511,37047874.4056776,POINT (15.562500000000043 40.479166666666956),40.479166666666956,15.562500000000043,380,1
17512,30155976.211542737,POINT (15.60416666666671 40.479166666666956),40.479166666666956,15.60416666666671,380,1
17513,49803128.28041555,POINT (15.645833333333378 40.479166666666956),40.479166666666956,15.645833333333378,380,1
17514,5403166.12960982,POINT (15.687500000000046 40.479166666666956),40.479166666666956,15.687500000000046,380,1
17515,69323.19261652976,POINT (15.72916666666671 40.479166666666956),40.479166666666956,15.72916666666671,380,1
17516,86141.40268490957,POINT (15.770833333333378 40.479166666666956),40.479166666666956,15.770833333333378,380,1
17517,10528798.107207192,POINT (15.812500000000046 40.479166666666956),40.479166666666956,15.812500000000046,380,1
17518,35130900.48423301,POINT (15.854166666666714 40.479166666666956),40.479166666666956,15.854166666666714,380,1
17519,819950.9373958656,POINT (15.895833333333378 40.479166666666956),40.479166666666956,15.895833333333378,380,1
17520,1764228.8308992106,POINT (15.937500000000046 40.479166666666956),40.479166666666956,15.937500000000046,380,1
17521,7759248.670638767,POINT (15.979166666666714 40.479166666666956),40.479166666666956,15.979166666666714,380,1
17522,42988.77668392336,POINT (16.020833333333382 40.479166666666956),40.479166666666956,16.020833333333382,380,1
17523,390610.0152121889,POINT (16.062500000000046 40.479166666666956),40.479166666666956,16.062500000000046,380,1
17524,70171.49897794309,POINT (16.104166666666714 40.479166666666956),40.479166666666956,16.104166666666714,380,1
17525,6672222.854369387,POINT (16.145833333333382 40.479166666666956),40.479166666666956,16.145833333333382,380,1
17526,1574568.33412856,POINT (16.18750000000005 40.479166666666956),40.479166666666956,16.18750000000005,380,1
17527,4827818.172093852,POINT (16.229166666666714 40.479166666666956),40.479166666666956,16.229166666666714,380,1
17528,3993191.929198233,POINT (16.270833333333382 40.479166666666956),40.479166666666956,16.270833333333382,380,1
17529,12416.249693484715,POINT (16.31250000000005 40.479166666666956),40.479166666666956,16.31250000000005,380,1
17530,6374.453080242722,POINT (16.354166666666718 40.479166666666956),40.479166666666956,16.354166666666718,380,1
17531,22998.899484636262,POINT (16.395833333333382 40.479166666666956),40.479166666666956,16.395833333333382,380,1
17532,55621311.55303348,POINT (16.43750000000005 40.479166666666956),40.479166666666956,16.43750000000005,380,1
17533,93782553.99276441,POINT (16.479166666666718 40.479166666666956),40.479166666666956,16.479166666666718,380,1
17534,4952897.597345192,POINT (16.520833333333385 40.479166666666956),40.479166666666956,16.520833333333385,380,1
17535,2246191.2453320855,POINT (16.56250000000005 40.479166666666956),40.479166666666956,16.56250000000005,380,1
17536,27356.570429369254,POINT (16.604166666666718 40.479166666666956),40.479166666666956,16.604166666666718,380,1
17537,35141.2803176108,POINT (16.645833333333385 40.479166666666956),40.479166666666956,16.645833333333385,380,1
17538,124007.84948594963,POINT (16.687500000000053 40.479166666666956),40.479166666666956,16.687500000000053,380,1
17539,209286.02267614,POINT (16.729166666666718 40.479166666666956),40.479166666666956,16.729166666666718,380,1
17540,214281.17709596403,POINT (16.770833333333385 40.479166666666956),40.479166666666956,16.770833333333385,380,1
17541,824076.12116303,POINT (16.812500000000053 40.479166666666956),40.479166666666956,16.812500000000053,380,1
17542,644753.0463245527,POINT (16.85416666666672 40.479166666666956),40.479166666666956,16.85416666666672,380,1
17543,3626316.051517747,POINT (16.895833333333385 40.479166666666956),40.479166666666956,16.895833333333385,380,1
17544,37200682.17885857,POINT (16.937500000000053 40.479166666666956),40.479166666666956,16.937500000000053,380,1
17545,82068241.74717048,POINT (17.312500000000057 40.479166666666956),40.479166666666956,17.312500000000057,380,1
17546,383173905.37362355,POINT (17.354166666666725 40.479166666666956),40.479166666666956,17.354166666666725,380,1
17547,1727319348.669482,POINT (17.39583333333339 40.479166666666956),40.479166666666956,17.39583333333339,380,1
17548,45242151.37433736,POINT (17.437500000000057 40.479166666666956),40.479166666666956,17.437500000000057,380,1
17549,92209707.22902623,POINT (17.479166666666725 40.479166666666956),40.479166666666956,17.479166666666725,380,1
17550,117822261.34945554,POINT (17.520833333333393 40.479166666666956),40.479166666666956,17.520833333333393,380,1
17551,8266057.032950494,POINT (17.562500000000057 40.479166666666956),40.479166666666956,17.562500000000057,380,1
17552,35408385.24347797,POINT (17.604166666666725 40.479166666666956),40.479166666666956,17.604166666666725,380,1
17553,691781458.2520921,POINT (17.645833333333393 40.479166666666956),40.479166666666956,17.645833333333393,380,1
17554,30329018.45248869,POINT (17.68750000000006 40.479166666666956),40.479166666666956,17.68750000000006,380,1
17555,517682834.1438735,POINT (17.729166666666725 40.479166666666956),40.479166666666956,17.729166666666725,380,1
17556,71300467.48553535,POINT (17.770833333333393 40.479166666666956),40.479166666666956,17.770833333333393,380,1
17557,795051.2818570462,POINT (17.81250000000006 40.479166666666956),40.479166666666956,17.81250000000006,380,1
17558,364658.4522908622,POINT (17.85416666666673 40.479166666666956),40.479166666666956,17.85416666666673,380,1
17559,18397058.037705354,POINT (17.895833333333393 40.479166666666956),40.479166666666956,17.895833333333393,380,1
17560,230122374.6230653,POINT (17.93750000000006 40.479166666666956),40.479166666666956,17.93750000000006,380,1
17561,1284768339.8627338,POINT (17.97916666666673 40.479166666666956),40.479166666666956,17.97916666666673,380,1
17562,547823526.6596183,POINT (18.020833333333396 40.479166666666956),40.479166666666956,18.020833333333396,380,1
17563,253908408.2828012,POINT (18.06250000000006 40.479166666666956),40.479166666666956,18.06250000000006,380,1
17564,12685843.131922748,POINT (18.10416666666673 40.479166666666956),40.479166666666956,18.10416666666673,380,1
17565,10255966.365108404,POINT (18.145833333333396 40.479166666666956),40.479166666666956,18.145833333333396,380,1
17566,254105783.9313003,POINT (14.979166666666707 40.43750000000029),40.43750000000029,14.979166666666707,380,1
17567,537540813.8647856,POINT (15.020833333333375 40.43750000000029),40.43750000000029,15.020833333333375,380,1
17568,101887425.86781213,POINT (15.062500000000039 40.43750000000029),40.43750000000029,15.062500000000039,380,1
17569,40732094.68934732,POINT (15.104166666666707 40.43750000000029),40.43750000000029,15.104166666666707,380,1
17570,12645161.879180938,POINT (15.145833333333375 40.43750000000029),40.43750000000029,15.145833333333375,380,1
17571,73508450.8240574,POINT (15.187500000000043 40.43750000000029),40.43750000000029,15.187500000000043,380,1
17572,77665415.72843485,POINT (15.229166666666707 40.43750000000029),40.43750000000029,15.229166666666707,380,1
17573,12398152.208925365,POINT (15.270833333333375 40.43750000000029),40.43750000000029,15.270833333333375,380,1
17574,14224669.827753201,POINT (15.312500000000043 40.43750000000029),40.43750000000029,15.312500000000043,380,1
17575,7707352.308005447,POINT (15.35416666666671 40.43750000000029),40.43750000000029,15.35416666666671,380,1
17576,3192780.930031223,POINT (15.395833333333375 40.43750000000029),40.43750000000029,15.395833333333375,380,1
17577,3000456.763571757,POINT (15.437500000000043 40.43750000000029),40.43750000000029,15.437500000000043,380,1
17578,100886255.19390385,POINT (15.47916666666671 40.43750000000029),40.43750000000029,15.47916666666671,380,1
17579,84514520.85800578,POINT (15.520833333333378 40.43750000000029),40.43750000000029,15.520833333333378,380,1
17580,181673567.94115457,POINT (15.562500000000043 40.43750000000029),40.43750000000029,15.562500000000043,380,1
17581,17502463.873081803,POINT (15.60416666666671 40.43750000000029),40.43750000000029,15.60416666666671,380,1
17582,3409887.2616803586,POINT (15.645833333333378 40.43750000000029),40.43750000000029,15.645833333333378,380,1
17583,2133871.4174096184,POINT (15.687500000000046 40.43750000000029),40.43750000000029,15.687500000000046,380,1
17584,22609646.822894685,POINT (15.72916666666671 40.43750000000029),40.43750000000029,15.72916666666671,380,1
17585,3360561.412504146,POINT (15.770833333333378 40.43750000000029),40.43750000000029,15.770833333333378,380,1
17586,499965.43867215497,POINT (15.812500000000046 40.43750000000029),40.43750000000029,15.812500000000046,380,1
17587,1864927.755459326,POINT (15.854166666666714 40.43750000000029),40.43750000000029,15.854166666666714,380,1
17588,61669.214300854714,POINT (15.895833333333378 40.43750000000029),40.43750000000029,15.895833333333378,380,1
17589,813093.5327138401,POINT (15.937500000000046 40.43750000000029),40.43750000000029,15.937500000000046,380,1
17590,6926355.7149434555,POINT (15.979166666666714 40.43750000000029),40.43750000000029,15.979166666666714,380,1
17591,22223.780537002254,POINT (16.020833333333382 40.43750000000029),40.43750000000029,16.020833333333382,380,1
17592,56507.67923008157,POINT (16.062500000000046 40.43750000000029),40.43750000000029,16.062500000000046,380,1
17593,70021.26745445374,POINT (16.104166666666714 40.43750000000029),40.43750000000029,16.104166666666714,380,1
17594,76021.43468088472,POINT (16.145833333333382 40.43750000000029),40.43750000000029,16.145833333333382,380,1
17595,40920.80442839205,POINT (16.18750000000005 40.43750000000029),40.43750000000029,16.18750000000005,380,1
17596,5524789.276386755,POINT (16.229166666666714 40.43750000000029),40.43750000000029,16.229166666666714,380,1
17597,53886.952108025165,POINT (16.270833333333382 40.43750000000029),40.43750000000029,16.270833333333382,380,1
17598,5053.212334901353,POINT (16.31250000000005 40.43750000000029),40.43750000000029,16.31250000000005,380,1
17599,5953.236270595423,POINT (16.354166666666718 40.43750000000029),40.43750000000029,16.354166666666718,380,1
17600,1806.2962680799903,POINT (16.395833333333382 40.43750000000029),40.43750000000029,16.395833333333382,380,1
17601,14403.130153867807,POINT (16.43750000000005 40.43750000000029),40.43750000000029,16.43750000000005,380,1
17602,136761.47923810995,POINT (16.479166666666718 40.43750000000029),40.43750000000029,16.479166666666718,380,1
