,Unnamed: 0,Unnamed: 0.1,Source,Size,Rate,Loss,Expected loss
11998,11998,117,ITCS021,6.0,0.023076751616821708,39.2035791791413,0.9046912592074469
12566,12566,685,ITCS006,6.2,0.01456044591937882,33.15358599096762,0.48273099585495927
11566,11566,3073,ITCS021,5.9,0.02905190903207895,32.64343149134966,0.9483540021815916
11565,11565,3072,ITCS021,5.9,0.02905190903207895,27.438260791217395,0.7971338565049064
12641,12641,760,ITCS021,6.2,0.01456044591937882,25.531901729592924,0.3717558743526323
12568,12568,687,ITCS006,6.2,0.01456044591937882,20.98226224547048,0.3055110946913969
11996,11996,115,ITCS021,6.0,0.023076751616821708,20.544923548737106,0.4741100977207974
11559,11559,3066,ITCS021,5.9,0.02905190903207895,14.725365348593053,0.4277999745714529
12258,12258,377,ITCS006,6.1,0.018330515374960717,12.803646531177018,0.2346974395953028
13550,13550,1669,ITCS222,6.7,0.004604417285294149,12.667634009810364,0.05832707299855087
12890,12890,1009,ITCS021,6.3,0.011565773303938563,12.40530275012751,0.1434769193747004
13440,13440,1559,ITCS222,6.6,0.0057966179269611255,11.878452671194813,0.06885485169840712
11038,11038,2545,ITCS021,5.8,0.03657418654161676,11.421690791643705,0.4177390496342433
13216,13216,1335,ITCS006,6.5,0.007297509610712981,10.815247029371324,0.07892436913907226
12823,12823,942,ITCS006,6.3,0.011565773303938563,9.766704535579766,0.11295949058506415
13036,13036,1155,ITCS006,6.4,0.009187020291738728,9.72126653994615,0.08930947296388601
11037,11037,2544,ITCS021,5.8,0.03657418654161676,9.656248217628804,0.35316942360371023
11045,11045,2552,ITCS021,5.8,0.03657418654161676,5.747090677816285,0.2101951665220395
12259,12259,378,ITCS006,6.1,0.018330515374960717,5.729048671898331,0.10501641476413064
11044,11044,2551,ITCS021,5.8,0.03657418654161676,5.584817123142109,0.20426014326261496
12257,12257,376,ITCS006,6.1,0.018330515374960717,5.256854077700021,0.09636084449520518
12347,12347,466,ITCS021,6.1,0.018330515374960717,4.755958839808818,0.08717917663579587
11567,11567,3074,ITCS021,5.9,0.02905190903207895,4.16340827818881,0.12095495856134578
12644,12644,763,ITCS021,6.2,0.01456044591937882,4.1388828326300375,0.06026397965115508
11561,11561,3068,ITCS021,5.9,0.02905190903207895,2.6678364082417088,0.07750574064470636
11887,11887,6,ITCS006,6.0,0.023076751616821708,1.5209019512922923,0.0350974765635117
10413,10413,1920,ITCS021,5.7,0.04604417285294149,1.3942208211906126,0.0641957444860706
10414,10414,1921,ITCS021,5.7,0.04604417285294149,1.3569723836512289,0.062480670989505216
13309,13309,1428,ITCS222,6.5,0.007297509610712981,1.0366744402691321,0.007565141691044492
10422,10422,1929,ITCS021,5.7,0.04604417285294149,0.968664620746572,0.04460136123418417
11888,11888,7,ITCS006,6.0,0.023076751616821708,0.9627051125793994,0.02221610676323918
10421,10421,1928,ITCS021,5.7,0.04604417285294149,0.9248999740718716,0.04258625427784636
12645,12645,764,ITCS021,6.2,0.01456044591937882,0.7779736033921224,0.011327642578895266
12646,12646,765,ITCS021,6.2,0.01456044591937882,0.7761715609339128,0.01130140403713808
